customer_id,name,Address,email, Phone number ,Employment status,Loan Term,Verification by Loan Company,Loan Status,Loan Purpose,Application Type,Total Years of Employment,Annual Income,Income-Debt Ratio,No of Open Credit Lines,Credit Utilization Rate,No of Mortgage Account,Employment status,credit_score,Requested,Disbursed,Loan duration,Repayment method,Interest rate(%),Due date,Loan status,Loan status 2,Late fee,Refunded,Default,Category,First repayment,Second repayment,Loan received,loan reviewed,loan disbursed
CST_115179,ita Bose,41 Jennings Court,ita Bose@gmail.com,8049638328,Unemployed,36 months,Not Verified,Fully Paid,vacation,INDIVIDUAL,4.467855958,117000,26.24,16,41.8,0,Unemployed,544,18690.93,11214.558,5,Cash,3,19/07/2023,Defaulted,Declined,,355.13,1,Business,186.91,168.22,6/4/2023,20/04/2023,18/05/2023
CST_121920,Alper Jonathan,"Little Falls, NJ 07424",Alper Jonathan@gmail.com,8060753504,Employed,36 months,Not Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4,65000,22.05,17,53.3,3,Employed,857,37745.19,30196.152,8,Cash,5,2/8/2023,Active,Approved,,597.63,0,Personal,314.54,283.09,17/02/2023,3/3/2023,31/03/2023
CST_109330,Umesh Desai,551 High Noon Ave.,Umesh Desai@gmail.com,8056782707,Employed,36 months,Verified,Fully Paid,credit_card,INDIVIDUAL,4.467855958,43057,12.79,13,92.2,0,Employed,650,41598.36,24959.016,6,Auto Debit,4,31/07/2023,Completed,Approved,,693.31,0,Business,346.65,346.65,4/4/2023,18/04/2023,16/05/2023
CST_128288,Rie,"Evans, GA 30809",Rie@gmail.com,8074680108,Employed,36 months,Not Verified,Fully Paid,credit_card,INDIVIDUAL,6,54000,2.6,6,21.5,0,Employed,754,32627.76,26102.208,9,Cash,7,31/07/2023,Completed,Approved,,459.21,0,Business,241.69,217.52,3/4/2023,17/04/2023,15/05/2023
CST_151355,McCool,7881B Richardson Drive,McCool@gmail.com,8077304469,Employed,60 months,Verified,Charged Off,credit_card,INDIVIDUAL,9,55000,33.95,13,69.8,1,Employed,927,52950.64,42360.512,6,Cash,4,14/07/2023,Completed,Approved,,1117.85,0,Personal,588.34,529.51,15/02/2023,1/3/2023,29/03/2023
CST_123268,Sarah Marsh,"Chattanooga, TN 37421",Sarah Marsh@gmail.com,8042853871,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,86788,16.31,8,100.6,4,Employed,937,40245.64,32196.512,7,Cash,7,8/7/2023,Active,Approved,,728.25,0,Personal,383.29,344.96,19/04/2023,3/5/2023,31/05/2023
CST_127502,Mason,735 Littleton Ave.,Mason@gmail.com,8033735035,Employed,36 months,Verified,Fully Paid,home_improvement,INDIVIDUAL,2,125000,1.36,8,4.9,3,Employed,733,41311.08,33048.864,9,Auto Debit,3,29/07/2023,Completed,Approved,,612.02,0,Business,306.01,306.01,12/2/2023,26/02/2023,26/03/2023
CST_151722,Saba,"Irvington, NJ 07111",Saba@gmail.com,8088002294,Employed,36 months,Not Verified,Fully Paid,credit_card,INDIVIDUAL,4.467855958,46000,26.87,11,64.5,0,Employed,906,32209.22,25767.376,6,Cash,8,2/7/2023,Completed,Approved,,679.97,0,Personal,357.88,322.09,9/3/2023,23/03/2023,20/04/2023
CST_133768,Ashutosh,453 University St.,Ashutosh@gmail.com,8091595616,Employed,60 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,103000,12.52,13,32.9,3,Employed,783,65037.74,52030.192,10,Auto Debit,5,21/06/2023,Completed,Approved,,867.17,0,Business,433.58,433.58,2/5/2023,16/05/2023,13/06/2023
CST_111670,David Milliken,"Norristown, PA 19401",David Milliken@gmail.com,8046353412,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,3,115000,23.69,13,82.4,1,Employed,666,28425.52,17055.312,9,Auto Debit,4,19/06/2023,Active,Approved,,315.84,0,Business,157.92,157.92,17/02/2023,3/3/2023,31/03/2023
